,instant,dteday,season,year,month,holiday,weekday,workingday,weathersit,temperatura,atemp,humedad,windspeed,casual,registered,total_alquileres,usuarios_totales,clima
220,221,2011-08-09,fall,0,8,0,2,1,1,31.775000000000002,0.724121,0.570417,0.151121,907,3695,4602,4602,Despejado
221,222,2011-08-10,fall,0,8,0,3,1,1,31.433346999999998,0.684983,0.424167,0.200258,884,3896,4780,4780,Despejado
222,223,2011-08-11,fall,0,8,0,4,1,1,29.4175,0.651521,0.42375,0.164796,812,3980,4792,4792,Despejado
223,224,2011-08-12,fall,0,8,0,5,1,1,29.041653,0.654042,0.415,0.125621,1051,3854,4905,4905,Despejado
224,225,2011-08-13,fall,0,8,0,6,0,2,28.119153,0.645858,0.729583,0.211454,1504,2646,4150,4150,Nublado
225,226,2011-08-14,fall,0,8,0,0,0,2,27.743347,0.624388,0.8175,0.222633,1338,2482,3820,3820,Nublado
226,227,2011-08-15,fall,0,8,0,1,1,1,27.299153,0.616167,0.712083,0.208954,775,3563,4338,4338,Despejado
227,228,2011-08-16,fall,0,8,0,2,1,1,28.734153000000003,0.645837,0.578333,0.236329,721,4004,4725,4725,Despejado
228,229,2011-08-17,fall,0,8,0,3,1,1,29.656653,0.666671,0.575417,0.143667,668,4026,4694,4694,Despejado
229,230,2011-08-18,fall,0,8,0,4,1,1,29.178347000000002,0.662258,0.654583,0.233208,639,3166,3805,3805,Despejado
230,231,2011-08-19,fall,0,8,0,5,1,2,28.085,0.633221,0.722917,0.139308,797,3356,4153,4153,Nublado
231,232,2011-08-20,fall,0,8,0,6,0,1,28.5975,0.648996,0.674167,0.104467,1914,3277,5191,5191,Despejado
232,233,2011-08-21,fall,0,8,0,0,0,1,29.144153000000003,0.675525,0.77,0.248754,1249,2624,3873,3873,Despejado
233,234,2011-08-22,fall,0,8,0,1,1,1,28.358347000000002,0.638254,0.47,0.27675,833,3925,4758,4758,Despejado
234,235,2011-08-23,fall,0,8,0,2,1,1,26.274153,0.606067,0.455417,0.146763,1281,4614,5895,5895,Despejado
235,236,2011-08-24,fall,0,8,0,3,1,1,27.606652999999998,0.630692,0.605,0.253108,949,4181,5130,5130,Despejado
236,237,2011-08-25,fall,0,8,0,4,1,2,28.050846999999997,0.645854,0.771667,0.210833,435,3107,3542,3542,Nublado
237,238,2011-08-26,fall,0,8,0,5,1,1,28.7,0.659733,0.76125,0.0839625,768,3893,4661,4661,Despejado
238,239,2011-08-27,fall,0,8,0,6,0,2,27.880000000000003,0.635556,0.85,0.375617,226,889,1115,1115,Nublado
239,240,2011-08-28,fall,0,8,0,0,0,1,28.989418999999998,0.647959,0.561765,0.304659,1415,2919,4334,4334,Despejado
240,241,2011-08-29,fall,0,8,0,1,1,1,26.103347,0.607958,0.554583,0.159825,729,3905,4634,4634,Despejado
241,242,2011-08-30,fall,0,8,0,2,1,1,26.205847000000002,0.594704,0.548333,0.125008,775,4429,5204,5204,Despejado
242,243,2011-08-31,fall,0,8,0,3,1,1,26.923347,0.611121,0.597917,0.0833333,688,4370,5058,5058,Despejado
243,244,2011-09-01,fall,0,9,0,4,1,1,26.855,0.614921,0.639167,0.141796,783,4332,5115,5115,Despejado
244,245,2011-09-02,fall,0,9,0,5,1,2,26.376653,0.604808,0.727083,0.139929,875,3852,4727,4727,Nublado
245,246,2011-09-03,fall,0,9,0,6,0,1,27.435847,0.633213,0.716667,0.185325,1935,2549,4484,4484,Despejado
246,247,2011-09-04,fall,0,9,0,0,0,1,29.075847,0.665429,0.742083,0.206467,2521,2419,4940,4940,Despejado
247,248,2011-09-05,fall,0,9,1,1,0,2,27.606652999999998,0.625646,0.790417,0.212696,1236,2115,3351,3351,Nublado
248,249,2011-09-06,fall,0,9,0,2,1,3,22.14,0.5152,0.886957,0.343943,204,2506,2710,2710,Lluvioso
249,250,2011-09-07,fall,0,9,0,3,1,3,24.565847,0.544229,0.917083,0.0970208,118,1878,1996,1996,Lluvioso
250,251,2011-09-08,fall,0,9,0,4,1,3,25.990433,0.555361,0.939565,0.192748,153,1689,1842,1842,Lluvioso
251,252,2011-09-09,fall,0,9,0,5,1,2,26.650000000000002,0.578946,0.897917,0.124379,417,3127,3544,3544,Nublado
252,253,2011-09-10,fall,0,9,0,6,0,1,27.060000000000002,0.607962,0.75375,0.153608,1750,3595,5345,5345,Despejado
253,254,2011-09-11,fall,0,9,0,0,0,1,26.786653,0.609229,0.71375,0.115054,1633,3413,5046,5046,Despejado
254,255,2011-09-12,fall,0,9,0,1,1,1,26.418268,0.60213,0.692174,0.088913,690,4023,4713,4713,Despejado
255,256,2011-09-13,fall,0,9,0,2,1,1,26.684153,0.603554,0.7125,0.141804,701,4062,4763,4763,Despejado
256,257,2011-09-14,fall,0,9,0,3,1,1,27.606652999999998,0.6269,0.697083,0.1673,647,4138,4785,4785,Despejado
257,258,2011-09-15,fall,0,9,0,4,1,2,23.677500000000002,0.553671,0.709167,0.271146,428,3231,3659,3659,Nublado
258,259,2011-09-16,fall,0,9,0,5,1,2,19.235847,0.461475,0.590417,0.164183,742,4018,4760,4760,Nublado
259,260,2011-09-17,fall,0,9,0,6,0,2,20.158347,0.478512,0.718333,0.189675,1434,3077,4511,4511,Nublado
260,261,2011-09-18,fall,0,9,0,0,0,1,20.807499999999997,0.490537,0.695,0.178483,1353,2921,4274,4274,Despejado
261,262,2011-09-19,fall,0,9,0,1,1,2,22.515846999999997,0.529675,0.69,0.151742,691,3848,4539,4539,Nublado
262,263,2011-09-20,fall,0,9,0,2,1,2,23.028347,0.532217,0.88125,0.134954,438,3203,3641,3641,Nublado
263,264,2011-09-21,fall,0,9,0,3,1,2,24.395,0.550533,0.9,0.0964042,539,3813,4352,4352,Nublado
264,265,2011-09-22,fall,0,9,0,4,1,2,25.761653000000003,0.554963,0.902083,0.128125,555,4240,4795,4795,Nublado
265,266,2011-09-23,winter,0,9,0,5,1,2,24.975847,0.522125,0.9725,0.0783667,258,2137,2395,2395,Nublado
266,267,2011-09-24,winter,0,9,0,6,0,2,24.873347,0.564412,0.8625,0.0783833,1776,3647,5423,5423,Nublado
267,268,2011-09-25,winter,0,9,0,0,0,2,26.000847,0.572637,0.845,0.0503792,1544,3466,5010,5010,Nublado
268,269,2011-09-26,winter,0,9,0,1,1,2,26.615847000000002,0.589042,0.848333,0.1107,684,3946,4630,4630,Nublado
269,270,2011-09-27,winter,0,9,0,2,1,2,26.103347,0.574525,0.885417,0.118171,477,3643,4120,4120,Nublado
270,271,2011-09-28,winter,0,9,0,3,1,2,26.035,0.575158,0.84875,0.148629,480,3427,3907,3907,Nublado
271,272,2011-09-29,winter,0,9,0,4,1,1,25.283347,0.574512,0.699167,0.172883,653,4186,4839,4839,Despejado
272,273,2011-09-30,winter,0,9,0,5,1,1,23.130847,0.544829,0.6475,0.206475,830,4372,5202,5202,Despejado
273,274,2011-10-01,winter,0,10,0,6,0,2,16.81,0.412863,0.75375,0.292296,480,1949,2429,2429,Nublado
274,275,2011-10-02,winter,0,10,0,0,0,2,14.623347,0.345317,0.791667,0.222013,616,2302,2918,2918,Nublado
275,276,2011-10-03,winter,0,10,0,1,1,2,15.750846999999998,0.392046,0.760833,0.0833458,330,3240,3570,3570,Nublado
276,277,2011-10-04,winter,0,10,0,2,1,1,19.850847,0.472858,0.71,0.205854,486,3970,4456,4456,Despejado
277,278,2011-10-05,winter,0,10,0,3,1,1,22.071652999999998,0.527138,0.647917,0.17725,559,4267,4826,4826,Despejado
278,279,2011-10-06,winter,0,10,0,4,1,1,20.260847000000002,0.480425,0.620833,0.134954,639,4126,4765,4765,Despejado
279,280,2011-10-07,winter,0,10,0,5,1,1,20.944153,0.504404,0.684167,0.0223917,949,4036,4985,4985,Despejado
280,281,2011-10-08,winter,0,10,0,6,0,1,21.388347,0.513242,0.70125,0.0454042,2235,3174,5409,5409,Despejado
281,282,2011-10-09,winter,0,10,0,0,0,1,22.174153,0.523983,0.7275,0.06345,2397,3114,5511,5511,Despejado
282,283,2011-10-10,winter,0,10,1,1,0,1,23.404153,0.542925,0.73375,0.0423042,1514,3603,5117,5117,Despejado
283,284,2011-10-11,winter,0,10,0,2,1,2,23.233347000000002,0.546096,0.80875,0.143042,667,3896,4563,4563,Nublado
284,285,2011-10-12,winter,0,10,0,3,1,3,22.276653,0.517717,0.90625,0.24815,217,2199,2416,2416,Lluvioso
285,286,2011-10-13,winter,0,10,0,4,1,2,24.155847,0.551804,0.896667,0.141787,290,2623,2913,2913,Nublado
286,287,2011-10-14,winter,0,10,0,5,1,2,22.584153,0.529675,0.71625,0.223883,529,3115,3644,3644,Nublado
287,288,2011-10-15,winter,0,10,0,6,0,1,20.773346999999998,0.498725,0.483333,0.258083,1899,3318,5217,5217,Despejado
288,289,2011-10-16,winter,0,10,0,0,0,1,20.978347,0.503154,0.486667,0.281717,1748,3293,5041,5041,Despejado
289,290,2011-10-17,winter,0,10,0,1,1,1,21.900847,0.510725,0.579583,0.175379,713,3857,4570,4570,Despejado
290,291,2011-10-18,winter,0,10,0,2,1,2,21.8325,0.522721,0.701667,0.110087,637,4111,4748,4748,Nublado
291,292,2011-10-19,winter,0,10,0,3,1,3,22.211299,0.513848,0.895217,0.243339,254,2170,2424,2424,Lluvioso
292,293,2011-10-20,winter,0,10,0,4,1,1,19.509153,0.466525,0.63625,0.422275,471,3724,4195,4195,Despejado
293,294,2011-10-21,winter,0,10,0,5,1,1,17.5275,0.423596,0.574167,0.221396,676,3628,4304,4304,Despejado
294,295,2011-10-22,winter,0,10,0,6,0,1,17.322499999999998,0.425492,0.629167,0.0926667,1499,2809,4308,4308,Despejado
295,296,2011-10-23,winter,0,10,0,0,0,1,17.288347,0.422333,0.74125,0.0995125,1619,2762,4381,4381,Despejado
296,297,2011-10-24,winter,0,10,0,1,1,1,18.996653,0.457067,0.772083,0.118792,699,3488,4187,4187,Despejado
297,298,2011-10-25,winter,0,10,0,2,1,1,19.338347,0.463375,0.622917,0.166658,695,3992,4687,4687,Despejado
298,299,2011-10-26,winter,0,10,0,3,1,2,19.850847,0.472846,0.720417,0.148642,404,3490,3894,3894,Nublado
299,300,2011-10-27,winter,0,10,0,4,1,2,19.27,0.457046,0.812917,0.197763,240,2419,2659,2659,Nublado
300,301,2011-10-28,winter,0,10,0,5,1,2,13.564153,0.318812,0.585833,0.229479,456,3291,3747,3747,Nublado
301,302,2011-10-29,winter,0,10,0,6,0,3,10.420846999999998,0.227913,0.8825,0.351371,57,570,627,627,Lluvioso
302,303,2011-10-30,winter,0,10,0,0,0,1,13.085847,0.321329,0.62375,0.176617,885,2446,3331,3331,Despejado
303,304,2011-10-31,winter,0,10,0,1,1,1,13.940000000000001,0.356063,0.703333,0.10635,362,3307,3669,3669,Despejado
304,305,2011-11-01,winter,0,11,0,2,1,1,16.434153,0.397088,0.68375,0.135571,410,3658,4068,4068,Despejado
305,306,2011-11-02,winter,0,11,0,3,1,1,15.477500000000001,0.390133,0.71875,0.0820917,370,3816,4186,4186,Despejado
306,307,2011-11-03,winter,0,11,0,4,1,1,16.741653,0.405921,0.702083,0.136817,318,3656,3974,3974,Despejado
307,308,2011-11-04,winter,0,11,0,5,1,2,16.536653,0.403392,0.6225,0.271779,470,3576,4046,4046,Nublado
308,309,2011-11-05,winter,0,11,0,6,0,1,13.393346999999999,0.323854,0.519167,0.189062,1156,2770,3926,3926,Despejado
309,310,2011-11-06,winter,0,11,0,0,0,1,14.281653,0.362358,0.734583,0.0920542,952,2697,3649,3649,Despejado
310,311,2011-11-07,winter,0,11,0,1,1,1,16.195,0.400871,0.75875,0.057225,373,3662,4035,4035,Despejado
311,312,2011-11-08,winter,0,11,0,2,1,1,16.741653,0.412246,0.721667,0.0690375,376,3829,4205,4205,Despejado
312,313,2011-11-09,winter,0,11,0,3,1,1,16.400000000000002,0.409079,0.758333,0.0621958,305,3804,4109,4109,Despejado
313,314,2011-11-10,winter,0,11,0,4,1,2,15.58,0.373721,0.813333,0.189067,190,2743,2933,2933,Nublado
314,315,2011-11-11,winter,0,11,1,5,0,1,13.290847,0.306817,0.44625,0.314675,440,2928,3368,3368,Despejado
315,316,2011-11-12,winter,0,11,0,6,0,1,14.623347,0.357942,0.552917,0.212062,1275,2792,4067,4067,Despejado
316,317,2011-11-13,winter,0,11,0,0,0,1,18.074153,0.43055,0.458333,0.281721,1004,2713,3717,3717,Despejado
317,318,2011-11-14,winter,0,11,0,1,1,1,21.73,0.524612,0.587083,0.306596,595,3891,4486,4486,Despejado
318,319,2011-11-15,winter,0,11,0,2,1,2,21.73,0.507579,0.68875,0.199633,449,3746,4195,4195,Nublado
319,320,2011-11-16,winter,0,11,0,3,1,3,18.723347,0.451988,0.93,0.136829,145,1672,1817,1817,Lluvioso
320,321,2011-11-17,winter,0,11,0,4,1,2,14.008347,0.323221,0.575833,0.305362,139,2914,3053,3053,Nublado
321,322,2011-11-18,winter,0,11,0,5,1,1,11.240847,0.272721,0.41,0.168533,245,3147,3392,3392,Despejado
322,323,2011-11-19,winter,0,11,0,6,0,1,13.495847,0.324483,0.502083,0.224496,943,2720,3663,3663,Despejado
323,324,2011-11-20,winter,0,11,0,0,0,2,18.996653,0.457058,0.684583,0.18595,787,2733,3520,3520,Nublado
324,325,2011-11-21,winter,0,11,0,1,1,3,18.3475,0.445062,0.91,0.138054,220,2545,2765,2765,Lluvioso
325,326,2011-11-22,winter,0,11,0,2,1,3,17.083347,0.421696,0.9625,0.118792,69,1538,1607,1607,Lluvioso
326,327,2011-11-23,winter,0,11,0,3,1,2,18.074153,0.430537,0.757917,0.335825,112,2454,2566,2566,Nublado
327,328,2011-11-24,winter,0,11,1,4,0,1,15.306653,0.372471,0.549167,0.167304,560,935,1495,1495,Despejado
328,329,2011-11-25,winter,0,11,0,5,1,1,15.375,0.380671,0.64375,0.0988958,1095,1697,2792,2792,Despejado
329,330,2011-11-26,winter,0,11,0,6,0,1,15.409152999999998,0.385087,0.681667,0.0684208,1249,1819,3068,3068,Despejado
330,331,2011-11-27,winter,0,11,0,0,0,1,18.825847,0.4558,0.698333,0.208954,810,2261,3071,3071,Despejado
331,332,2011-11-28,winter,0,11,0,1,1,1,20.642598,0.490122,0.743043,0.142122,253,3614,3867,3867,Despejado
332,333,2011-11-29,winter,0,11,0,2,1,2,18.791653,0.451375,0.830833,0.258092,96,2818,2914,2914,Nublado
333,334,2011-11-30,winter,0,11,0,3,1,1,13.325000000000001,0.311221,0.613333,0.271158,188,3425,3613,3613,Despejado
334,335,2011-12-01,winter,0,12,0,4,1,1,12.8125,0.305554,0.524583,0.220158,182,3545,3727,3727,Despejado
335,336,2011-12-02,winter,0,12,0,5,1,1,12.880847,0.331433,0.625833,0.100754,268,3672,3940,3940,Despejado
336,337,2011-12-03,winter,0,12,0,6,0,1,12.265847,0.310604,0.612917,0.0957833,706,2908,3614,3614,Despejado
337,338,2011-12-04,winter,0,12,0,0,0,1,13.564153,0.3491,0.775833,0.0839583,634,2851,3485,3485,Despejado
338,339,2011-12-05,winter,0,12,0,1,1,2,15.819153,0.393925,0.827083,0.0622083,233,3578,3811,3811,Nublado
339,340,2011-12-06,winter,0,12,0,2,1,3,18.962500000000002,0.4564,0.949583,0.232583,126,2468,2594,2594,Lluvioso
340,341,2011-12-07,winter,0,12,0,3,1,3,16.81,0.400246,0.970417,0.266175,50,655,705,705,Lluvioso
341,342,2011-12-08,winter,0,12,0,4,1,1,10.899153,0.256938,0.58,0.240058,150,3172,3322,3322,Despejado
342,343,2011-12-09,winter,0,12,0,5,1,1,11.924153,0.317542,0.695833,0.0827167,261,3359,3620,3620,Despejado
343,344,2011-12-10,winter,0,12,0,6,0,1,11.275,0.266412,0.5075,0.233221,502,2688,3190,3190,Despejado
344,345,2011-12-11,winter,0,12,0,0,0,1,9.054153,0.253154,0.49,0.0665417,377,2366,2743,2743,Despejado
345,346,2011-12-12,winter,0,12,0,1,1,1,9.771652999999999,0.270196,0.670833,0.06345,143,3167,3310,3310,Despejado
346,347,2011-12-13,winter,0,12,0,2,1,1,11.5825,0.301138,0.59,0.14055,155,3368,3523,3523,Despejado
347,348,2011-12-14,winter,0,12,0,3,1,2,13.0175,0.338362,0.66375,0.0609583,178,3562,3740,3740,Nublado
348,349,2011-12-15,winter,0,12,0,4,1,2,17.322499999999998,0.412237,0.634167,0.268042,181,3528,3709,3709,Nublado
349,350,2011-12-16,winter,0,12,0,5,1,2,15.375,0.359825,0.500417,0.260575,178,3399,3577,3577,Nublado
350,351,2011-12-17,winter,0,12,0,6,0,2,10.591652999999999,0.249371,0.560833,0.243167,275,2464,2739,2739,Nublado
351,352,2011-12-18,winter,0,12,0,0,0,1,9.771652999999999,0.245579,0.58625,0.169779,220,2211,2431,2431,Despejado
352,353,2011-12-19,winter,0,12,0,1,1,1,11.343347,0.280933,0.6375,0.172896,260,3143,3403,3403,Despejado
353,354,2011-12-20,winter,0,12,0,2,1,2,15.819153,0.396454,0.595417,0.0615708,216,3534,3750,3750,Nublado
354,355,2011-12-21,springer,0,12,0,3,1,2,17.561653,0.428017,0.858333,0.2214,107,2553,2660,2660,Nublado
355,356,2011-12-22,springer,0,12,0,4,1,2,17.356653,0.426121,0.7575,0.047275,227,2841,3068,3068,Nublado
356,357,2011-12-23,springer,0,12,0,5,1,1,15.306653,0.377513,0.68625,0.274246,163,2046,2209,2209,Despejado
357,358,2011-12-24,springer,0,12,0,6,0,1,12.4025,0.299242,0.5425,0.190304,155,856,1011,1011,Despejado
358,359,2011-12-25,springer,0,12,0,0,0,1,11.266103,0.279961,0.681304,0.155091,303,451,754,754,Despejado
359,360,2011-12-26,springer,0,12,1,1,0,1,13.191299,0.315535,0.506957,0.239465,430,887,1317,1317,Despejado
360,361,2011-12-27,springer,0,12,0,2,1,2,13.325000000000001,0.327633,0.7625,0.18845,103,1059,1162,1162,Nublado
361,362,2011-12-28,springer,0,12,0,3,1,1,12.264330000000001,0.279974,0.503913,0.293961,255,2047,2302,2302,Despejado
362,363,2011-12-29,springer,0,12,0,4,1,1,10.181653,0.263892,0.574167,0.119412,254,2169,2423,2423,Despejado
363,364,2011-12-30,springer,0,12,0,5,1,1,12.778347000000002,0.318812,0.636667,0.134337,491,2508,2999,2999,Despejado
364,365,2011-12-31,springer,0,12,0,6,0,1,16.81,0.414121,0.615833,0.220154,665,1820,2485,2485,Despejado
365,366,2012-01-01,springer,1,1,0,0,0,1,15.17,0.375621,0.6925,0.192167,686,1608,2294,2294,Despejado
366,367,2012-01-02,springer,1,1,1,1,0,1,11.194763,0.252304,0.381304,0.329665,244,1707,1951,1951,Despejado
367,368,2012-01-03,springer,1,1,0,2,1,1,6.1499999999999995,0.126275,0.44125,0.365671,89,2147,2236,2236,Despejado
368,369,2012-01-04,springer,1,1,0,3,1,2,4.4075,0.119337,0.414583,0.1847,95,2273,2368,2368,Nublado
369,370,2012-01-05,springer,1,1,0,4,1,1,10.899153,0.278412,0.524167,0.129987,140,3132,3272,3272,Despejado
370,371,2012-01-06,springer,1,1,0,5,1,1,13.700847,0.340267,0.542083,0.167908,307,3791,4098,4098,Despejado
371,372,2012-01-07,springer,1,1,0,6,0,1,16.126653,0.390779,0.531667,0.174758,1070,3451,4521,4521,Despejado
372,373,2012-01-08,springer,1,1,0,0,0,1,13.8375,0.340258,0.465,0.191542,599,2826,3425,3425,Despejado
373,374,2012-01-09,springer,1,1,0,1,1,2,9.190847,0.247479,0.701667,0.0989,106,2270,2376,2376,Nublado
374,375,2012-01-10,springer,1,1,0,2,1,1,12.656536000000001,0.318826,0.646522,0.187552,173,3425,3598,3598,Despejado
375,376,2012-01-11,springer,1,1,0,3,1,2,11.240847,0.282821,0.8475,0.131221,92,2085,2177,2177,Nublado
376,377,2012-01-12,springer,1,1,0,4,1,2,15.682500000000001,0.381938,0.802917,0.180967,269,3828,4097,4097,Nublado
377,378,2012-01-13,springer,1,1,0,5,1,1,11.240847,0.249362,0.5075,0.378108,174,3040,3214,3214,Despejado
378,379,2012-01-14,springer,1,1,0,6,0,1,7.38,0.183087,0.4575,0.187183,333,2160,2493,2493,Despejado
379,380,2012-01-15,springer,1,1,0,0,0,1,6.833347000000001,0.161625,0.419167,0.251258,284,2027,2311,2311,Despejado
380,381,2012-01-16,springer,1,1,1,1,0,1,7.79,0.190663,0.5225,0.231358,217,2081,2298,2298,Despejado
381,382,2012-01-17,springer,1,1,0,2,1,2,15.294763,0.364278,0.716087,0.34913,127,2808,2935,2935,Nublado
382,383,2012-01-18,springer,1,1,0,3,1,1,12.436653000000002,0.275254,0.443333,0.415429,109,3267,3376,3376,Despejado
383,384,2012-01-19,springer,1,1,0,4,1,1,7.79,0.190038,0.4975,0.220158,130,3162,3292,3292,Despejado
384,385,2012-01-20,springer,1,1,0,5,1,2,8.9175,0.220958,0.45,0.20275,115,3048,3163,3163,Nublado
385,386,2012-01-21,springer,1,1,0,6,0,2,7.106653,0.174875,0.83125,0.222642,67,1234,1301,1301,Nublado
386,387,2012-01-22,springer,1,1,0,0,0,2,6.6625000000000005,0.16225,0.79625,0.199638,196,1781,1977,1977,Nublado
387,388,2012-01-23,springer,1,1,0,1,1,2,8.951653,0.243058,0.91125,0.110708,145,2287,2432,2432,Nublado
388,389,2012-01-24,springer,1,1,0,2,1,1,14.0425,0.349108,0.835833,0.123767,439,3900,4339,4339,Despejado
389,390,2012-01-25,springer,1,1,0,3,1,1,12.060847,0.294821,0.64375,0.161071,467,3803,4270,4270,Despejado
390,391,2012-01-26,springer,1,1,0,4,1,2,14.008347,0.35605,0.769583,0.0733958,244,3831,4075,4075,Nublado
391,392,2012-01-27,springer,1,1,0,5,1,2,17.425,0.415383,0.74125,0.342667,269,3187,3456,3456,Nublado
392,393,2012-01-28,springer,1,1,0,6,0,1,12.949152999999999,0.326379,0.543333,0.210829,775,3248,4023,4023,Despejado
393,394,2012-01-29,springer,1,1,0,0,0,1,11.5825,0.272721,0.31125,0.24005,558,2685,3243,3243,Despejado
394,395,2012-01-30,springer,1,1,0,1,1,1,11.035847,0.262625,0.400833,0.215792,126,3498,3624,3624,Despejado
395,396,2012-01-31,springer,1,1,0,2,1,1,15.99,0.381317,0.416667,0.261817,324,4185,4509,4509,Despejado
396,397,2012-02-01,springer,1,2,0,3,1,1,19.235847,0.466538,0.507917,0.189067,304,4275,4579,4579,Despejado
397,398,2012-02-02,springer,1,2,0,4,1,2,16.365847,0.398971,0.672917,0.187187,190,3571,3761,3761,Nublado
398,399,2012-02-03,springer,1,2,0,5,1,1,12.846652999999998,0.309346,0.526667,0.178496,310,3841,4151,4151,Despejado
399,400,2012-02-04,springer,1,2,0,6,0,2,10.830846999999999,0.272725,0.779583,0.121896,384,2448,2832,2832,Nublado
400,401,2012-02-05,springer,1,2,0,0,0,2,10.899153,0.264521,0.687917,0.175996,318,2629,2947,2947,Nublado
401,402,2012-02-06,springer,1,2,0,1,1,1,11.586969,0.296426,0.622174,0.1538,206,3578,3784,3784,Despejado
402,403,2012-02-07,springer,1,2,0,2,1,1,14.520847,0.361104,0.49625,0.147379,199,4176,4375,4375,Despejado
403,404,2012-02-08,springer,1,2,0,3,1,2,10.523347,0.266421,0.722917,0.133721,109,2693,2802,2802,Nublado
404,405,2012-02-09,springer,1,2,0,4,1,1,10.865,0.261988,0.562083,0.194037,163,3667,3830,3830,Despejado
405,406,2012-02-10,springer,1,2,0,5,1,2,11.514153,0.293558,0.54,0.116929,227,3604,3831,3831,Nublado
406,407,2012-02-11,springer,1,2,0,6,0,3,9.190847,0.210867,0.73125,0.289796,192,1977,2169,2169,Lluvioso
407,408,2012-02-12,springer,1,2,0,0,0,1,5.2275,0.101658,0.464583,0.409212,73,1456,1529,1529,Despejado
408,409,2012-02-13,springer,1,2,0,1,1,1,9.1225,0.227913,0.41125,0.167283,94,3328,3422,3422,Despejado
409,410,2012-02-14,springer,1,2,0,2,1,2,13.085847,0.333946,0.50875,0.141179,135,3787,3922,3922,Nublado
410,411,2012-02-15,springer,1,2,0,3,1,1,14.281653,0.351629,0.53125,0.1816,141,4028,4169,4169,Despejado
411,412,2012-02-16,springer,1,2,0,4,1,2,12.983346999999998,0.330162,0.752917,0.091425,74,2931,3005,3005,Nublado
412,413,2012-02-17,springer,1,2,0,5,1,1,14.076653,0.351629,0.634583,0.205846,349,3805,4154,4154,Despejado
413,414,2012-02-18,springer,1,2,0,6,0,1,14.213347,0.355425,0.534583,0.190929,1435,2883,4318,4318,Despejado
414,415,2012-02-19,springer,1,2,0,0,0,2,11.48,0.265788,0.515833,0.253112,618,2071,2689,2689,Nublado
415,416,2012-02-20,springer,1,2,1,1,0,1,11.48,0.273391,0.507826,0.229083,502,2627,3129,3129,Despejado
416,417,2012-02-21,springer,1,2,0,2,1,1,11.800866000000001,0.295113,0.594348,0.205717,163,3614,3777,3777,Despejado
417,418,2012-02-22,springer,1,2,0,3,1,1,16.229153,0.392667,0.567917,0.234471,394,4379,4773,4773,Despejado
418,419,2012-02-23,springer,1,2,0,4,1,1,18.620846999999998,0.444446,0.554583,0.190913,516,4546,5062,5062,Despejado
419,420,2012-02-24,springer,1,2,0,5,1,2,16.7075,0.410971,0.7375,0.237567,246,3241,3487,3487,Nublado
420,421,2012-02-25,springer,1,2,0,6,0,1,11.924153,0.255675,0.395833,0.421642,317,2415,2732,2732,Despejado
421,422,2012-02-26,springer,1,2,0,0,0,1,11.445847,0.268308,0.41,0.205229,515,2874,3389,3389,Despejado
422,423,2012-02-27,springer,1,2,0,1,1,1,15.033347000000001,0.357954,0.490833,0.268033,253,4069,4322,4322,Despejado
423,424,2012-02-28,springer,1,2,0,2,1,1,14.725847,0.353525,0.395833,0.193417,229,4134,4363,4363,Despejado
424,425,2012-02-29,springer,1,2,0,3,1,2,14.118267999999999,0.34847,0.804783,0.179117,65,1769,1834,1834,Nublado
425,426,2012-03-01,springer,1,3,0,4,1,1,19.919153,0.475371,0.615417,0.226987,325,4665,4990,4990,Despejado
426,427,2012-03-02,springer,1,3,0,5,1,2,14.486653,0.359842,0.657083,0.144904,246,2948,3194,3194,Nublado
427,428,2012-03-03,springer,1,3,0,6,0,2,16.980847,0.413492,0.62125,0.161079,956,3110,4066,4066,Nublado
428,429,2012-03-04,springer,1,3,0,0,0,1,13.359153,0.303021,0.403333,0.334571,710,2713,3423,3423,Despejado
429,430,2012-03-05,springer,1,3,0,1,1,1,9.976652999999999,0.241171,0.50625,0.228858,203,3130,3333,3333,Despejado
430,431,2012-03-06,springer,1,3,0,2,1,1,10.591652999999999,0.255042,0.456667,0.200875,221,3735,3956,3956,Despejado
431,432,2012-03-07,springer,1,3,0,3,1,1,16.570847,0.3851,0.513333,0.345779,432,4484,4916,4916,Despejado
432,433,2012-03-08,springer,1,3,0,4,1,1,21.627499999999998,0.524604,0.5675,0.441563,486,4896,5382,5382,Despejado
433,434,2012-03-09,springer,1,3,0,5,1,2,16.844153,0.397083,0.407083,0.4148,447,4122,4569,4569,Nublado
434,435,2012-03-10,springer,1,3,0,6,0,1,11.7875,0.277767,0.350417,0.22575,968,3150,4118,4118,Despejado
435,436,2012-03-11,springer,1,3,0,0,0,1,14.831299,0.35967,0.476957,0.222587,1658,3253,4911,4911,Despejado
436,437,2012-03-12,springer,1,3,0,1,1,1,19.133347,0.459592,0.489167,0.207713,838,4460,5298,5298,Despejado
437,438,2012-03-13,springer,1,3,0,2,1,1,23.165,0.542929,0.6175,0.23695,762,5085,5847,5847,Despejado
438,439,2012-03-14,springer,1,3,0,3,1,1,23.4725,0.548617,0.507083,0.115062,997,5315,6312,6312,Despejado
439,440,2012-03-15,springer,1,3,0,4,1,1,22.857499999999998,0.532825,0.579583,0.149883,1005,5187,6192,6192,Despejado
440,441,2012-03-16,springer,1,3,0,5,1,2,17.869153,0.436229,0.842083,0.113192,548,3830,4378,4378,Nublado
